Name	Tags	Image	Description
AB Boxing Matches	Iceberg, Layer3, ABBoxingMatches	https://mlpnk72yciwc.i.optimole.com/cqhiHLc.IIZS~2ef73/w:376/h:250/q:75/https://bleedingcool.com/wp-content/uploads/2023/04/Creator-Clash-2-Nathan-Dad-Barnett-AB-Starkilla-Ayad.jpg	AB fought Hundar of Muscle party in Creator Clash 2022. Both Hundar and Luckyboy (ABs boxing coach) were guests on the Podcast to talk about his fight. /n  AB once again fought in Creator Clash 2023, this time going up against the monster that is Dad. AB once again lost, but he put up a hell of a fight! The aftermath of the Dad fight was less amicable than the Hundar fight, and beef ensued with Dad, Ethan, and AB. /n  Lena has since gotten involved with boxing herself, and will be fighting in Creator Clash 2025!
Joker Brain	Iceberg, Layer4, JokerBrain	https://i.ytimg.com/vi/DpZb0ZrJPUk/maxresdefault.jpg	One of the oldest ongoing jokes on the show. It started in December of 2020 when Zach declared he had a 'Joker Brain'. To this day, only Zach truly understands what this means, but that somehow makes the idea resonate even more... /n   Since then merch has been sold surrounding Joker Brain, a Joker Brain NFT was created, and Zach has dressed up as the Joker multiple times. In September of 2022 Zach had his Joker Brain title contested by Lena. I'll leave you up to decide who truly deserves the title.
ABs Burrito	Iceberg, Layer4, ABsBurrito	https://ih1.redbubble.net/image.3775422350.8345/flat,750x,075,f-pad,750x1000,f8f8f8.jpg	At one point the crew was assigned to all go home, make a Hello Fresh meal, and take pictures showing off their creations. AB's Burrito was the stand out star and there was definitely nothing wrong with it whatsoever. Since then, AB's Burrito has a re-occurring gag just about every time they have an ad read for Hello Fresh.
P&P	Iceberg, Layer3, P&P	https://justatic.com/profile-images/1527786-1601928357-s.jpg	A TikTok Lawyer that Ethan stumbled upon and found absolutely hilarious. Since then P&P has called into the show multiple times, and even made an appearance on the live show. LETS GO!
Godfather Impression	Iceberg, Layer2, GodfatherImpression	https://cdn.britannica.com/55/188355-050-D5E49258/Salvatore-Corsitto-The-Godfather-Marlon-Brando-Francis.jpg	Possibly the oldest impression on the show. It started with humble beginnings, and eventually Zach added music to the segment. For a time, Zach was quite often the instigator, playing the Godfather music to get Ethan riled up. However, these days the Godfather impression is seen less and less.
Weights in Fish	Iceberg, Layer4, WeightsinFish	https://media-cldnry.s-nbcnews.com/image/upload/t_focal-760x428,f_auto,q_auto:best/mpx/2704722219/2022_10/FISH-gjruah.jpg	In October of 2022 a TikTok went viral that revealed a team fo fisherman cheating by putting weights in fish to increase their numbers. This led to a hilarious soundbite that is often used on the show.
Ethans Bomb Threat	Iceberg, Layer4, BombThreats	https://thumb.ac-illust.com/c4/c4f5502ca9eded16935a1a70743ecc9e_t.jpeg	Ethan was, rightfully, incredibly distressed after the Uvalde shootings. His anger grew when he found out the NRA was holding a conference DAYS AFTER the shooting, and this led him to saying some uncouth things. The episode was banned almost immediately.
Zilly Zonka	Iceberg, Layer4, ZillyZonka	https://media.tenor.com/jxqPmuV3lFQAAAAe/h3-zilly-zonka.png	When Ethan was trying Mr. Beast's chocolate bars on the show the crew came up with an ellaborate ploy to create a fake golden ticket, and a fake website to submit the ticket on. This led to Ethan getting ZILLY ZONK'D!! What an idiot, he didn't win SHIT. Zilly Zonka has since become a re-occuring gag that pops up every once in awhile on the show
Dr. Idz	Iceberg, Layer4, DrIdz	https://hips.hearstapps.com/hmg-prod/images/dr-idz-65eedc0955ae4.png	Dr Idz is a medical doctor who fueled Ethan's Coke Zero addiction by telling him that Diet Coke is good for him. He has a TikTok channel where he debunks medical misinformation, and has called into the show multiple times for various different topics.
DoesRyanKavanaughLook LikeHarveyWeinstein.com	Iceberg, Layer5, RyanHarvey.com	https://media.tenor.com/o-Y3gxFGSN0AAAAM/h3-h3after-dark.gif	The writing is on the wall. The public? Confused. Who is Ryan Kavanaugh, and why does he look SO MUCH like Harvey Weinstein? /n  Ethan and Love set out to solve this little dillemma, and thus https://doesryankavanaughlooklikeharveyweinstein.com/ was born - The public rejoiced! /n   "Finally, we can breath again" one user said. Of course, Harvey Kavanaugh would not take this sitting down and in December of 2021 he would file yet another lawsuit against Ethan and try to get the site taken down. He would not succeed, however, and the site remains active to this day!
Lou	Iceberg, Layer4, Lou	https://static.wikia.nocookie.net/h3podcast/images/2/24/ZachLewis.jpg	It is well known that Zach has an alter Ego - Or, well, a few of them - But one in particular is known as Lou!  He occassionally shows up on the show, sporting his red jacket.
Fake Ethan	Iceberg, Layer5, EthanBodyDouble	https://pbs.twimg.com/profile_images/1663636443275857920/I9XjlEWX_400x400.jpg	In 2022 the H3 Podcast was nominated for a streamy award once again. In the past Ethan has been very staunchly against the streamy's due to his pent up aggression towards Jay Shetty. However, this year was going to be different. He would play by their rules. He would attend the streamies himself. He would gather the troops. He would storm into that establishment and claim his rightful place atop their throne of lies. Aaaaand he sent a body double.
Throast	Iceberg, Layer5, Throast	https://1000logos.net/wp-content/uploads/2021/04/Wikipedia-logo.png	A wiki moderator that was dragged into Ryan Kavanaugh drama. In November of 2021  a wikipedia user named RK777713 began erasing the 'Controversial' section of Ryan Kavanaugh's Wikipedia page. When mods noticed, a heated discussion between them began, inevitably leading to the mods banning the account. /n  It was suspected that this account could be Ryan Kavanaugh, and this theory would only be further proven when Kav Kav would grow increasingly unhinged in the following months. One such Tweet was Ryan putting out a bounty stating that he would reward 25k to anyone who could prove that Ethan was Throast... Shockingly, no one was ever able to prove this.
Saudi Benefactor	Iceberg, SaudiBenefactor, Layer7	https://orientxxi.info/IMG/logo/salmane-2.jpg	There is one particular chatter on streams that will send large amounts of gifted subs under various different names. For a time, the benefactor faded away, but eventually re-emerged! The crew was estatic and to this day the chat continues to receieves hundreds of gifted subs from this mysterious person!
Chestnuts	Iceberg, Layer3, ChestnutGate	https://static1.thegamerimages.com/wordpress/wp-content/uploads/2023/02/untitled-design-2023-02-15t152801-661.jpg	Ethan was late on getting on the Anuc Atittawan train, but what he lacked in time he made up for in quantity and he became obssessed with Anuc's cover of "Chestnuts Roasting on an Open Fire", playing the clip at various moments throughout the late January 2023 shows. However, Chestnuts would be forever tainted when Ethan told Zach to play it overtop a very emotional video by QTCinderella. Ethan has since apologized, some say the best apology, and the event has since been dubbed Chestnut Gate.
R Kelly Passports	Iceberg, Layer5, RKellyPassportSong	https://media.tenor.com/uxAu4a7TDGEAAAAe/passport-shots.png	One of the longest running jokes on the Podcast. Back in March of 2019 Ethan presented a video of R. Kelly trying to recruit women in Ethiopia to come back to America with him. While R. Kelly is now in jail for sex trafficking charges there's not denying the song is a bop. Ethan sings it multiple times a year and multiple skits and hilarious moments have spawned from the song.
Thats Not Fraud	Iceberg, Layer5, ThatsNotFraud	https://media.wired.com/photos/5c48957da730093fb4f2d92d/191:100/w_1280,c_limit/Culture_FyreFestival3.jpg	Back in 2019 a documentary about the disastrous Fire Festival landed on Netflix. Ja Rule was famously apart of the scam, and while trying to save face during the fallout he proudly declared 'That's not Fraud. I would call that... Uhhhh... False Advertising!'. To this day whenever fraud is talked about on the show you can be sure that Ja Rule will be there to add to the conversation.
The Chew Zone	Iceberg, Layer5, TheChewZone	https://media.tenor.com/3uzBwnDo790AAAAe/h3-ethan-klein-drunk.png	Ethan's a disgusting FREAK who chews into the microphone. The Chew Zone was created to help alleviate that. It didn't help, but it is a funny gag that will occassionally make an appearance.
Apology Podium	Iceberg, Layer6, ApologyPodium	https://i.ytimg.com/vi/Hz-hpoLzN_I/hq720.jpg	The apology podium was originally created to, well, apologize in front of a podium. But to be clear, it was only to be used SARCASTICALLY. No real apologies SHOULD EVER be done behind the podium. And they never were, all the way up until the podiums bitter end when Ethan's drunk rampage shook the community to its core.
