title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
FIVE HUNDRED SUBS	Bowblax_500subs.mp3	OTR	46	08-17-2022	12033	Bowblax	https://www.youtube.com/watch?v=JEJi68zv1EQ&t=12033	
BITCH YOU HAVE NOTHING	Bowblax_BITCHYOUHAVENOTHING.mp3	OTR	46	08-17-2022	11995	Bowblax	https://www.youtube.com/watch?v=JEJi68zv1EQ&t=11995	
FUCKING FK FK FK FK	BowBlax_IFuckingFuckFuckFuckFuck.mp3	OTR	46	08-17-2022	11554	Bowblax	https://www.youtube.com/watch?v=JEJi68zv1EQ&t=11554	
LET ME SPEEEEAAAAK	Bowblax_LETMESPEAAAK.mp3	OTR	46	08-17-2022	11799	Bowblax	https://www.youtube.com/watch?v=JEJi68zv1EQ&t=11799	
TALK ABOUT THE ALLEGATIONS	BowBlax_TalkAboutTheAllegations.mp3	OTR	46	08-17-2022	11540	Bowblax	https://www.youtube.com/watch?v=JEJi68zv1EQ&t=11540	
THIS! THIS! THIS IS WHY IM WATCHING	BowBlax_ThisIsWhyImWatching.mp3	OTR	46	08-17-2022	11545	Bowblax	https://www.youtube.com/watch?v=JEJi68zv1EQ&t=11545	
Stop laughing AT SONIC	BowBlax_StopLaughingAtSonic.mp3	Unknown	1	05-05-2015	0	Bowblax	https://youtu.be/zOYZ3XMGjUM&t=0	
Getting FUCKED BY A HORSE	Bowblax_GettingFuckedByAHorse.mp3	Unknown	1	05-05-2015	0	Bowblax	https://youtu.be/zOYZ3XMGjUM&t=0	
What's Going on with that Hair?	Bowblax_WhatsGoingOnWithThatHair.mp3	Unknown	1	05-05-2015	0	Bowblax	https://youtu.be/zOYZ3XMGjUM&t=0	
Jerking your dog off	BradleyMartyn_JerkingYourDogOff.mp3	OTR	47	08-31-2022	4297	Bradley Martyn	https://www.youtube.com/watch?v=mRMb2YKOOrs&t=4297	
I Love that Fucking Game	BradleyMartin_ILoveThatFuckingGame.mp3	Unknown	1	05-05-2015	0	Bradley Martyn	https://youtu.be/zOYZ3XMGjUM&t=0	
We drank beer	BrettKavanaugh_WeDrankBeer.mp3	AfterDark	40	06-11-2021	701	Brett Kavanaugh	https://www.youtube.com/watch?v=uvc-dX0fG3s&t=701	
